ICD9CMCode,TotalDiag,dx0,dx1,dx2,dx3,dx4,dx5,dx6,dx7,dx8,dx9,dx10,dx11,dx12,dx13,dx14,dx15,dx16,dx17,dx18,dx19,dx20,dx21,dx22,dx23,dx24
011.80,20.0,2.0,7.0,,1.0,6.0,1.0,2.0,,,1.0,,,,,,,,,,,,,,,
011.83,19.0,12.0,,2.0,,3.0,,,1.0,1.0,,,,,,,,,,,,,,,,
011.84,14.0,9.0,,,,1.0,3.0,,,,,,,,1.0,,,,,,,,,,,
011.85,3.0,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,
011.86,6.0,5.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
011.90,601.0,139.0,79.0,76.0,65.0,55.0,47.0,26.0,27.0,27.0,13.0,15.0,8.0,5.0,5.0,3.0,5.0,1.0,2.0,,,1.0,2.0,,,
011.91,5.0,,1.0,,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,
011.92,30.0,14.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,,1.0,,,,,1.0,,,,,,,,,,
011.93,228.0,142.0,13.0,10.0,9.0,10.0,11.0,5.0,5.0,3.0,3.0,6.0,3.0,,3.0,2.0,2.0,,,,,,,,1.0,
011.94,108.0,64.0,8.0,6.0,2.0,3.0,7.0,1.0,1.0,2.0,7.0,2.0,1.0,1.0,1.0,,,,,,,1.0,1.0,,,
011.95,28.0,15.0,3.0,2.0,2.0,,2.0,3.0,,,,,,,,,,1.0,,,,,,,,
011.96,69.0,37.0,4.0,6.0,4.0,2.0,4.0,2.0,3.0,2.0,2.0,,2.0,,,,,,,,1.0,,,,,
012.00,19.0,11.0,1.0,,,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
012.01,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
012.02,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
012.03,13.0,7.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,
012.04,14.0,9.0,1.0,,1.0,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,
012.05,6.0,3.0,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,
012.06,7.0,4.0,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,
012.10,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
012.12,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
012.13,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
012.33,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,
012.80,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
012.82,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
012.84,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
012.86,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
013.00,33.0,11.0,10.0,9.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,
013.02,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
013.03,5.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
013.04,12.0,6.0,3.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,
013.05,3.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
013.06,3.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
013.10,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
013.20,7.0,1.0,,1.0,1.0,1.0,2.0,,,,1.0,,,,,,,,,,,,,,,
013.23,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,
013.26,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
013.36,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
013.40,3.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
013.44,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
013.46,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
013.50,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
013.54,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
013.60,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
013.64,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
014.00,10.0,1.0,3.0,3.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,
014.03,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
014.04,4.0,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
014.05,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
014.06,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
014.80,13.0,,3.0,1.0,2.0,3.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,
014.81,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
